particle,frames_tracked,mean_speed(px/s),total_displacement(px),mean_squared_displacement(pxÂ²),directional_persistence,mean_turn_angle(deg)
4,3,22.887,4.319,13.561,0.439,147.64
8,12,38.318,17.287,49.489,0.262,94.38
10,11,36.539,15.709,45.192,0.273,99.05
16,4,25.417,8.257,17.61,0.567,103.68
19,38,28.272,103.784,24.378,0.674,72.33
24,6,17.95,13.907,8.928,0.901,42.56
25,3,40.928,14.396,58.833,0.818,30.12
27,12,27.891,20.845,25.915,0.435,106.93
28,23,27.681,70.003,33.613,0.767,68.59
30,7,30.6,4.928,23.284,0.161,66.09
31,5,45.541,11.966,46.027,0.367,120.98
33,7,62.191,22.758,118.221,0.365,78.82
35,4,50.533,24.879,93.307,0.859,22.25
37,5,17.544,4.963,11.222,0.395,80.21
40,12,46.259,29.931,81.591,0.376,72.44
44,3,22.444,5.084,12.162,0.527,24.16
45,52,24.177,96.659,22.436,0.537,39.19
46,14,23.595,19.964,31.715,0.422,57.95
47,5,33.454,12.005,52.431,0.501,136.76
48,14,43.109,29.246,56.624,0.338,69.05
51,6,40.76,18.95,50.446,0.541,78.76
61,11,38.096,13.567,65.517,0.226,63.42
63,12,25.536,18.993,27.141,0.433,70.31
64,7,27.788,13.448,29.161,0.483,58.88
65,3,42.908,9.883,41.066,0.536,10.76
66,6,22.616,18.46,16.173,0.95,18.8
68,11,19.228,23.043,12.328,0.76,81.57
69,27,29.442,56.071,26.352,0.492,81.75
71,8,33.297,32.726,69.918,0.858,79.14
72,19,26.093,37.753,20.528,0.532,68.01
80,3,37.292,2.866,29.902,0.179,125.18
82,5,18.694,4.158,9.495,0.31,96.87
85,6,26.747,16.399,17.616,0.713,10.55
86,3,23.307,3.79,13.932,0.378,149.98
87,7,61.833,10.96,111.502,0.177,64.2
91,4,71.129,11.281,179.875,0.277,108.77
93,10,36.302,7.085,35.685,0.136,53.22
95,19,47.356,80.029,85.016,0.621,68.56
98,7,35.021,14.201,46.093,0.404,85.19
99,30,24.19,61.914,23.747,0.596,37.52
100,10,61.683,46.406,130.63,0.525,64.79
105,3,36.16,12.093,51.417,0.778,42.62
106,5,23.196,4.924,21.954,0.296,84.82
107,8,29.365,18.622,32.283,0.553,126.56
108,14,30.408,9.143,30.434,0.15,57.77
109,3,57.711,12.117,85.453,0.488,129.38
113,18,43.652,12.281,53.308,0.109,74.7
114,14,46.527,52.099,58.338,0.558,74.66
115,4,71.675,6.59,123.879,0.16,54.92
116,18,45.734,90.162,52.094,0.764,33.46
117,32,33.246,129.27,30.565,0.848,30.95
119,23,33.944,78.916,30.509,0.706,53.1
125,3,14.807,2.226,5.231,0.35,83.32
126,22,30.394,68.059,26.011,0.71,37.99
127,16,27.662,30.166,40.932,0.476,69.59
128,17,28.22,65.988,18.323,0.96,12.3
129,40,31.989,112.43,29.277,0.613,58.1
131,4,29.655,12.145,18.292,0.715,53.24
132,8,40.844,18.246,49.874,0.39,51.13
133,11,34.311,46.537,38.524,0.861,41.87
134,11,38.997,44.114,48.423,0.718,61.82
136,15,43.99,59.531,71.108,0.63,67.54
137,21,30.963,54.959,23.949,0.59,52.56
139,8,25.005,14.613,14.949,0.51,69.68
141,3,32.785,6.858,34.315,0.487,129.22
142,25,39.909,20.494,63.099,0.143,93.43
144,13,45.44,37.458,68.454,0.443,87.55
147,22,33.59,86.006,43.231,0.812,43.55
151,11,40.793,19.344,48.141,0.301,99.77
152,7,41.296,15.861,44.106,0.383,67.14
153,4,24.031,9.532,12.245,0.692,59.33
154,8,65.366,9.897,127.572,0.132,73.43
155,20,27.342,43.866,25.8,0.56,34.01
156,8,14.617,7.903,7.701,0.472,59.7
157,12,65.475,40.86,135.195,0.363,101.13
158,10,32.487,23.648,47.395,0.508,73.74
159,3,20.94,1.118,19.167,0.124,90.0
160,3,13.563,1.9,5.34,0.326,37.86
161,11,43.26,30.935,44.706,0.454,83.3
163,4,59.898,10.394,101.037,0.303,51.46
164,13,32.044,2.431,33.85,0.041,72.57
167,24,14.752,46.011,6.63,0.907,47.43
168,16,33.658,49.37,38.13,0.64,50.44
171,18,18.553,44.0,10.669,0.92,45.82
172,12,29.174,6.63,28.584,0.132,62.49
173,16,48.771,18.325,92.329,0.164,73.61
174,3,9.271,1.126,2.166,0.283,161.29
176,9,31.039,24.505,20.365,0.612,48.3
177,13,25.716,36.954,16.994,0.772,42.36
178,3,16.229,5.719,6.143,0.82,1.19
185,8,15.198,9.954,7.722,0.571,49.77
186,18,39.878,13.73,77.395,0.134,87.36
193,13,33.664,30.101,27.6,0.48,60.27
194,18,43.319,41.362,58.482,0.37,63.39
195,26,41.86,59.336,60.707,0.381,66.71
196,20,36.732,49.312,53.15,0.469,87.19
197,8,54.913,12.191,79.735,0.194,89.66
198,4,69.947,14.204,111.866,0.354,141.68
200,10,27.898,22.258,28.587,0.557,97.61
201,29,33.756,95.167,35.936,0.679,32.4
202,3,29.29,6.984,18.795,0.555,87.26
203,4,67.54,10.197,119.314,0.263,97.21
204,20,32.204,14.574,49.156,0.158,80.67
207,15,27.894,17.5,25.917,0.292,97.64
208,5,59.604,11.662,92.31,0.273,95.65
209,10,18.01,11.108,11.665,0.43,44.82
211,4,108.542,6.656,252.688,0.107,126.71
212,4,32.555,12.748,52.073,0.683,98.43
215,4,17.105,7.158,8.283,0.73,47.65
216,3,15.295,5.587,5.679,0.85,21.15
217,3,17.493,3.849,6.974,0.512,5.59
218,8,67.299,17.769,125.637,0.23,126.82
219,21,38.233,20.544,43.7,0.179,65.24
220,14,42.455,40.098,82.345,0.471,81.97
221,18,50.914,49.432,89.428,0.376,69.48
222,3,67.968,21.235,158.237,0.727,74.35
223,8,45.552,24.775,85.8,0.475,72.3
225,13,44.398,13.416,77.559,0.162,83.7
226,15,24.129,36.003,30.907,0.694,50.32
227,5,15.615,10.128,5.83,0.905,9.82
228,7,16.183,6.155,6.565,0.379,46.39
230,6,45.167,27.942,84.743,0.72,75.55
231,5,14.41,9.561,6.72,0.926,35.05
232,3,8.222,0.69,2.23,0.195,133.29
235,9,37.533,30.017,42.661,0.62,51.01
236,12,24.044,33.924,17.674,0.821,21.05
241,9,29.968,35.743,24.501,0.925,38.43
242,8,11.863,5.025,5.453,0.37,79.33
247,10,32.054,29.831,38.807,0.65,43.23
248,6,62.649,17.8,92.927,0.331,82.73
249,8,26.702,13.785,21.518,0.45,52.03
251,7,46.194,32.981,60.142,0.712,53.98
253,5,53.107,10.765,118.111,0.283,103.51
254,3,34.737,4.617,36.997,0.309,47.96
255,5,78.751,17.168,162.527,0.304,73.74
256,5,25.021,6.819,18.457,0.38,91.16
257,3,38.481,3.162,61.472,0.191,17.37
258,3,48.069,16.333,54.678,0.791,88.38
261,4,32.124,9.81,46.325,0.533,109.61
